id,url,language,label,notes
135,https://yalla-hagma.com/%d8%a8%d9%86%d8%a7%d8%b5%d8%b1-%d8%aa%d9%8a%d9%81%d9%8a-%d8%a8%d8%ab-%d9%85%d8%a8%d8%a7%d8%b4%d8%b1-%d9%85%d8%a8%d8%a7%d8%b1%d9%8a%d8%a7%d8%aa-%d8%a7%d9%84%d9%8a%d9%88%d9%85-%d8%a8%d8%af%d9%88%d9%86,,,
136,https://yala-shoot-tv.live/koora-shoot/,,,
137,https://www.yalla1shoot.com/matches-today_6/,,,
138,https://kooora.yalla--live.net/,,,
139,https://www.kooooralives.com/,,,
140,https://www.matchat-yalla-shoot.com/matches-today/,,,
141,https://kora-online-tv.me/,,,
142,https://yacineapp-tv.org/,,,
143,https://koora-goal-tv.com/,,,
144,https://koora10.com/matches-today/,,,
145,https://livehd77.pro/matches-today/,,,
146,https://yall-shot.com/,,,
147,https://www.okkora-live.com/home_4/,,,
148,https://w2.siiir.tv/,,,
149,https://kora-365.com/home/,,,
150,https://livee.koraon.com/home24/,,,
151,https://360kora.com/,,,
152,https://kora-365.com/,,,
153,https://can2025.aflam4you.net/home.html,,,
154,https://www.livehd7.sx/koora-shoot/,,,
155,https://yalla-shoot.as/yalla1shoot/,,,
156,https://dddd.alkoora.live/,,,
157,https://www.koooralivepro.info/,,,
158,https://www.shootkooralive.com/,,,
159,https://almstaba.com/tv/,,,
160,https://ahly.alsaudinews.com/,,,
161,https://www.as-goal.com/aa1/,,,
162,https://yalla-shoote.co/,,,
163,https://ayas.ir/,,,
164,https://app.live12.ir/,,,
165,https://bein-kora.com/home/,,,
166,https://beinmatch.fit/gooooo,,,
167,https://beinmatch1.live/match,,,
168,https://yallashooot.video/,,,
169,https://rwinakora.com/,,,
170,https://tv8k.vouills.com/,,,
171,http://duhoksport.com/,,,
172,https://egyball2.com/soccer,,,
173,https://eighty-eight.live/,,,
174,https://www.elahmad.com/tv/mobile-live-stream/,,,
175,https://elmatsh.com/,,,
176,https://flowcastapp.com/,,,
177,https://4k.go4kora.us/,,,
178,https://www.goalarab.org/mm2/,,,
179,https://www.yala-kora.live/,,,
180,https://yacinetv.vip/,,,
181,https://colkora.com/col-kora/,,,
182,https://live.tab3live.cc/,,,
183,https://hihi2.com/,,,
184,https://online-koora-live.com/,,,
185,https://bein-match.net/homepage12/,,,
186,https://www.kooora4lives.life/,,,
187,https://kooora4us.live/,,,
188,https://ilkoora.com/,,,
189,https://www.yalla-koora.live/,,,
190,https://koora-live-online.store/,,,
191,https://koooracity.com/home_4/,,,
192,https://www.yalashooot.com/home1/,,,
193,https://kooragoal-live.live/,,,
194,https://live.kooragoal.org/,,,
195,https://kooralive.run/,,,
196,https://www.yallashoothi.online/,,,
197,https://www.kooralive-hd.com/,,,
198,https://ar.livekoora.app/,,,
199,https://www.kora360.online/,,,
200,https://www.kooralite.live/,,,
201,https://www.yaallashooot.com/,,,
202,https://www.koraonline.online/,,,
203,https://kooragol-tv.com/,,,
204,https://kora.el-kora-live.com/,,,
205,https://kora.live-koora.org/,,,
206,https://www.livesportonline.pro/,,,
207,https://www.lkora-live.com/,,,
208,https://tve.online-koratv.com/,,,
209,https://kora.fel3arda.live/,,,
210,https://liivekoora.live/,,,
211,https://www.koraalive.info/,,,
212,https://www.yousufraissi.pro/,,,
213,https://www.hhd7.live/,,,
214,https://www.koraa-live.com/,,,
215,https://livekoora.live/,,,
216,https://w.siiir.tv/,,,
217,https://www.livematch-tv.com/,,,
218,https://manuelpratt.net/,,,
219,https://www.yalla-shoot-tv-live.vip/,,,
220,https://yala11a.maxsp0orts.com/,,,
221,https://yallaasport.online/,,,
222,https://club.newyalla-goal.com/,,,
223,https://ksakoora.live-koora.live/,,,
224,https://www.yalla-shoot-tv.site/,,,
225,https://www.tv-yalla-shoot.com/tv-yalla-shoot_5/,,,
226,http://tvpure.net/,,,
227,https://qmedia.ps/,,,
228,https://shoofkoora.live/,,,
229,https://www.choufkora.com/,,,
230,https://smartkoora.com/,,,
231,https://www.kora-live.im/home_2/,,,
232,https://d.koorasports.com/,,,
233,https://www.syrialive.online/,,,
234,https://yala-live.com/tv2/,,,
235,https://tv96.egy4.com/,,,
236,https://www.aymanetv.com/,,,
237,https://www.tvnise.com/,,,
238,https://www.kooraliive.com/,,,
239,https://www.watchlivefootball.me.uk/,,,
240,https://yacine-tvv.live/,,,
241,https://www.kora-online-tv.com/home20/,,,
242,https://www.live-koora.tv/home/,,,
243,https://yalla-shoot-new.club/,,,
244,https://yallakora-live1.com/,,,
245,https://yalla-kurd.com/,,,
246,https://yallalive.cfd/,,,
247,https://ar.yalla--live.net/,,,
248,https://yallaliveonline.com/ar/,,,
249,https://bein.yalla-match.com/yalla-shoot-live/,,,
250,https://yalla-shoot.app/,,,
251,https://www.yallashoot.video/,,,
